Workout,Active Calories,Total Calories,Resting Calories,Avg Heart Rate (bpm),Distance (miles),Average Pace (min/mi),Date,Day Of Week,Duration (H:M:S)
Outdoor Walk,163,230,67,102,1.76,22.82,01/01/2023,Sunday,0:40:16
Outdoor Walk,96,128,32,103,0.96,20.18,01/03/2023,Tuesday,0:19:29
Strength,217,276,59,118,NA,NA,01/04/2023,Wednesday,0:35:35
Racquetball,1109,1332,223,131,NA,NA,01/05/2023,Thursday,2:13:49
Yoga,103,138,35,93,NA,NA,01/06/2023,Friday,0:20:55
Outdoor Walk,101,137,36,102,1.12,19.32,01/06/2023,Friday,0:21:47
Outdoor Walk,166,224,58,105,1.71,20.55,01/07/2023,Saturday,0:35:16
HIIT,473,551,78,139,NA,NA,01/09/2023,Monday,0:47:01
Outdoor Walk,102,137,35,115,1.08,19.42,01/09/2023,Monday,0:21:03
Outdoor Walk,66,91,25,104,0.74,20.52,01/10/2023,Tuesday,0:15:22
Outdoor Walk,76,111,35,103,1,20.68,01/11/2023,Wednesday,0:20:50
Racquetball,797,940,143,131,NA,NA,01/11/2023,Wednesday,1:25:56
Strength,346,423,77,122,NA,NA,01/13/2023,Friday,0:46:13
Outdoor Walk,129,166,37,108,1.22,18.25,01/13/2023,Friday,0:22:18
Yoga,46,64,18,80,NA,NA,01/13/2023,Friday,0:10:59
Kickboxing,134,171,37,162,NA,NA,01/15/2023,Sunday,0:30:23
Strength,565,659,94,138,NA,NA,01/16/2023,Monday,0:57:00
Racquetball,559,706,147,114,NA,NA,01/17/2023,Tuesday,1:28:00
Strength,334,403,69,125,NA,NA,01/19/2023,Thursday,0:41:59
Outdoor Walk,28,38,10,102,0.3,18.32,01/20/2023,Friday,0:05:35
Outdoor Walk,87,134,47,92,1.01,27.67,01/21/2023,Saturday,0:28:01
Basketball,313,364,51,139,NA,NA,01/24/2023,Tuesday,0:30:37
Outdoor Walk,49,67,18,104,0.61,17.8,01/24/2023,Tuesday,0:11:02
Racquetball,735,875,140,132,NA,NA,01/25/2023,Wednesday,1:23:54
Outdoor Walk,220,295,75,106,2.42,18.5,01/26/2023,Thursday,0:44:53
Yoga,88,123,35,69,NA,NA,01/26/2023,Thursday,0:21:06
Strength,346,431,85,133,NA,NA,01/27/2023,Friday,0:40:04
Pickleball,769,936,167,123,NA,NA,01/29/2023,Sunday,1:40:44
Outdoor Walk,135,183,48,102,1.29,22.58,01/29/2023,Sunday,0:29:16
Yoga,88,122,34,66,NA,NA,01/30/2023,Monday,0:20:48
Yoga,46,64,18,77,NA,NA,01/31/2023,Tuesday,0:11:00